printer_id,cartridges
400000028957,"400000028961,400000030198"
400000033543,
400000026623,"400000015579,400000026129,400000014786,400000026499,400000014981,400000030514"
400000026362,"400000026364,400000030491"
400000033810,"400000032446,400000032445,400000032444,400000032443"
400000030990,"400000030965,400000031596"
400000026908,"400000026956,400000026909,400000030478,400000030479"
400000026640,"400000030399,400000030400,400000025991"
400000027293,"400000030508,400000029061,400000017385,400000019681,400000030505,400000030507,400000019642"
400000033472,
400000026368,"200000005717,400000016149"
400000027205,"400000027203,400000027202,400000030159,400000029970"
400000027765,"400000030574,400000027164,400000027163,400000027162,400000027165"
400000031068,
400000033283,
400000028979,"400000027203,400000027202,400000030159,400000029970"
400000032674,"400000031938,400000032575,400000031939,400000031936,400000031937,400000032555"
400000026870,"400000022915,400000029747"
400000026569,"400000030356,400000014452,400000030355,400000016954"
400000027927,"400000015968,400000016596,400000030584,400000016081,400000016957,400000016080"
400000027106,"400000023293,400000026131,400000030354,400000015223,400000030202"
400000033128,"400000031938,400000032575,400000031939,400000031936,400000031937,400000032555"
400000026344,"400000022462,400000011690,400000018345"
400000030987,400000005764
400000026464,"400000005168,400000011519,200000000402,400000013234,400000011518,400000013499,400000012388"
400000032655,"400000031358,400000031357,400000031355,400000031356"
400000026506,"400000027303,400000030516"
400000027059,"400000015579,400000026129,400000030363,400000006930"
400000031012,"400000033051,400000032909"
400000026669,"400000026664,400000012655,200000000420"
400000026722,"400000026723,400000030528"
400000026574,200000003714
400000028993,"400000027203,400000027202,400000029970"
400000029485,"400000033786,400000017405,400000017404,400000033785,400000033787,400000017407,400000017406,400000033784"
400000026335,"400000030492,400000026336"
400000028893,"400000019120,400000030395,400000020133,400000030394,400000021216"
400000030986,400000005764
400000032373,"400000032292,400000032294,400000032293,400000031351,400000032291,400000031353,400000031354,400000031352"
400000028820,"400000028819,400000030404"
400000024042,"400000024046,400000024041,400000024048,400000024047"
400000026596,"400000015579,400000026129,400000030328"
400000026160,"400000020053,400000004753,400000030421"
400000033279,
400000026340,200000004959
400000033391,
400000026419,"400000030270,400000026727,200000001808,400000012250"
400000027177,"400000030590,400000027175,400000027174,400000027176,400000027172"
400000029005,"400000029014,400000029015,400000029013,400000029012,400000030573"
400000029473,"400000030200,400000026969"
400000029543,"400000029547,400000029546,400000029545,400000029544,400000030561"
400000029483,"400000018811,400000018810,400000012767,400000029489"
400000026805,"400000024055,400000030276,400000026728,400000030472,400000030473"
400000026677,"400000030438,400000023563,400000015225,400000017386,200000003316"
400000032410,
400000027914,"400000015968,400000016596,400000030584,400000016081,400000016957,400000016080"
400000026804,"400000014788,400000030275,400000030446"
400000026955,"400000014788,400000030275,400000030446"
400000026598,"400000015579,400000003115,400000026129,400000030274"
400000033585,
400000028830,"400000030273,400000026498,400000027258,400000030392"
400000029476,400000030562
400000033400,
400000033523,
400000026396,"200000000393,400000030364,400000012992,400000014970"
400000026601,"400000015579,400000026129,400000030330"
400000033285,
400000031071,
400000028724,"400000020487,400000018143,400000018145,400000032753,400000032754,400000030570,400000032755,400000018144,400000032752"
400000029768,"400000023506,400000030269,400000030323,400000029773"
400000028940,"400000030499,400000030498,400000028905"
400000030985,400000005764
