printer_id,parts
400000032404,"400000032108,400000031836,400000032872,400000032121,400000032150,400000031839,400000032576,400000031945,400000031577,400000032874,400000031837,400000032109,400000032581,400000031978,400000032557,400000031844,400000031840,400000031580,400000031944,400000031979,400000033573,400000032104,400000031976,400000031947,400000031838,400000032873,400000032577,400000031946,400000032875,400000032516,400000031843,400000031579,400000031977,400000032151,400000031841,400000031971,400000031842,400000031578,400000032107,400000033704,400000032149"
400000033615,
400000032389,"400000032570,400000030898,400000032568,400000031613,400000032571,400000031615,400000030896,400000021871"
400000033764,400000033714
400000026746,"400000025156,400000021215,400000030640"
400000027280,400000027142
400000027264,
400000029808,
400000029038,"400000016908,400000026157,400000016907,400000029033"
400000032461,"400000032908,400000031824,400000031803,400000033730,400000031823,400000031932"
400000033668,400000030950
400000033763,400000033714
400000026801,"400000030639,400000018141,400000020379,400000013495,400000021432,400000033110,400000016877"
400000026208,"400000019405,400000030646,400000030645,400000030643,400000024601,400000030644"
400000027292,400000027142
400000026581,400000030165
400000028466,"400000002831,400000015958,400000010374,400000011757"
400000026806,"400000016877,400000024056"
400000032632,"400000031922,400000032570,400000030898,400000030894,400000030897,400000032554,400000031427,400000032571,400000021871,400000033724"
400000028946,400000027142
400000033298,400000033196
400000033687,400000032567
400000026978,
400000026479,"400000016407,400000009229,400000030633,400000002831,400000015958"
400000033520,
400000033159,"400000031987,400000031671,400000031583,400000032578,400000031849,400000033545,400000032565,400000032561,400000032517,400000031984,400000032581,400000031459,400000032579,400000032563,400000032566,400000033575,400000031954,400000031584,400000031953,400000033573,400000032564,400000031847,400000032556,400000032516,400000032580,400000031846,400000032868,400000031952,400000031985,400000031986,400000031848,400000031955,400000032940"
400000028851,"400000015222,400000010567,400000021215"
400000030115,
400000033175,"400000032516,400000032581"
400000028927,400000023607
400000031033,"400000032570,400000030894,400000030898,400000030897,400000031222,400000030888,400000016173,400000030895,400000032571,400000032568,400000031615,400000030896,400000030906,400000031611,400000021871,400000033724"
400000033154,"400000031838,400000032121,400000032577,400000032516,400000032581,400000032104"
400000033438,"400000031820,400000030896"
400000029538,"400000021248,400000021250,400000021251,400000021249"
400000028767,"400000016907,400000026157,400000022933,400000029033"
400000033584,
400000026369,400000025387
400000033204,"400000033723,400000033638,400000033701,400000031931,400000031819,400000033240,400000033724,400000033639,400000033722,400000031115,400000031871,400000031435,400000031802,400000033730,400000031470,400000033713,400000033631,400000031422,400000031420,400000033181,400000033703,400000033183,400000033729,400000031471,400000033182,400000032836,400000033184"
400000031070,"400000030894,400000031364,400000030895,400000031615,400000031428,400000033730,400000031817,400000033724"
400000033814,"400000032686,400000032687"
400000026655,400000016210
400000028682,"400000016907,400000016908,400000022933,400000029033"
400000027198,
400000029515,"400000025326,400000030343"
400000032459,"400000030894,400000032908,400000031824,400000031923,400000033700,400000033724"
400000028174,400000033101
400000033495,400000030896
400000032642,"400000031851,400000033246,400000033247,400000032562,400000032574,400000031853,400000033245,400000032567,400000031850,400000031852"
400000026792,
400000029994,
400000033402,400000031923
400000026200,400000030644
400000032476,
400000026473,"400000016407,400000021558,400000009229,400000030633,400000009931,400000002831,400000015958"
400000032420,"400000032908,400000033700,400000031867,400000032173,400000031868,400000031932,400000033724"
400000026243,"400000024601,400000024174"
400000029468,400000016210
400000033125,
400000026607,"400000017602,400000030017,400000022453,400000030632,400000014883,400000012999,400000030165,400000030021,400000030314,400000030020,400000030312,400000009850"
400000026721,"400000025156,400000021215"
400000029522,"400000019830,400000019828,400000024174,400000019829,400000024601,400000019827"
400000026986,"400000021214,400000010374,400000022453,400000011851,400000002831,400000025157,400000015958,400000011757"
400000027098,"400000017602,400000014883,400000012999,400000030021,400000030165,400000009850"
