printer_id,cartridges,parts
400000028759,,"400000026157,400000015427,400000022933"
400000030996,"400000032969,400000031924,400000032968,400000032970,400000031926,400000031927,400000031925","400000031837,400000033580,400000032581,400000031840,400000031844,400000032104,400000031836,400000032108,400000031838,400000031841,400000031842,400000031843,400000033579,400000033573,400000032577,400000031839,400000033575,400000032516,400000032576,400000032150,400000032121,400000033578,400000032629,400000032151,400000033581"
400000033330,,"400000030894,400000031427,400000030896,400000030897"
400000026339,,400000024601
400000030992,,"400000031460,400000033575,400000033573"
400000026576,,400000015038
400000033208,,"400000033185,400000030671,400000030673"
400000033418,,400000030896
400000026546,"400000021556,400000020348",
400000033278,,"400000033194,400000033195"
400000026394,,"400000033097,400000002831,400000011759"
400000028870,400000022914,400000016877
400000026874,400000025992,400000030024
400000028025,,"400000015020,400000016322,400000016325,400000015018,400000015019,400000016323,400000016324"
400000029508,,400000020383
400000027799,"400000032753,400000032752,400000032755,400000032754","400000022933,400000030612"
400000026399,400000012992,"400000021214,400000002831"
400000026744,400000014790,"400000025156,400000030640,400000021215"
400000028658,,"400000016908,400000026157,400000022933"
400000033768,"400000033709,400000033710,400000033711,400000033712",400000033714
400000008196,,"400000024174,400000024601"
400000027061,"400000014786,400000015579","400000009850,400000030017,400000030314,400000030165,400000030021,400000012999"
400000026276,400000024360,"400000030652,400000030648,400000024602,400000024601,400000033383,400000024174"
400000026876,,400000021245
400000032429,,"400000030896,400000031222,400000030950"
400000033488,,400000030896
400000028171,400000025991,400000033101
400000026893,,400000021215
400000026836,400000015226,"400000030638,400000027147,400000021245"
400000033812,"400000032444,400000032443","400000032447,400000032449,400000033704,400000032448,400000032450"
400000028787,,"400000030017,400000009850,400000030165"
400000032453,,"400000033346,400000031803,400000033187,400000031431,400000033185,400000030671,400000031871,400000030673,400000031931,400000031934,400000033191,400000031115,400000031823,400000033720,400000033186"
400000033745,400000033642,400000032005
400000026211,,400000024601
400000033615,400000033513,
400000027244,400000016140,400000022275
400000028837,400000030062,"400000030635,400000025158"
400000033329,,400000030896
400000028545,400000013499,"400000002831,400000016407"
400000028888,"400000013848,400000026130,400000015579","400000009850,400000012999"
400000027294,"400000019642,400000019681",
400000026465,400000013499,"400000009229,400000002831,400000021723,400000009931,400000021698,400000021558,400000033096,400000016407"
400000026245,,"400000024174,400000024601"
400000026554,,"400000021214,400000002831,400000030165,400000013502"
400000033254,,"400000033194,400000033195"
400000032388,,"400000032570,400000031613,400000030896,400000032568,400000031615,400000021871"
400000026201,400000018135,400000024601
400000026631,,"400000030017,400000009850,400000030165"
400000028094,400000024237,"400000023678,400000030642"
400000033750,400000033642,400000032005
400000026568,,"400000030314,400000027143,400000030165,400000022452"
400000028849,,400000022273
400000032373,"400000032292,400000031352,400000031351","400000033240,400000033346,400000030973,400000033728,400000031516,400000031346,400000033180,400000031422,400000033632,400000031420,400000032259,400000033703,400000031871,400000033722,400000031471,400000033182,400000033633,400000031518,400000032870,400000031931,400000033636,400000033721,400000033184,400000031929,400000031115,400000031470,400000033720,400000033713,400000031802,400000031515,400000033635,400000033181,400000033723,400000031435"
400000026537,400000018130,"400000021214,400000015038,400000002831,400000021698"
400000030998,"400000031924,400000031926,400000032968,400000032970,400000031927,400000032969,400000031925","400000031837,400000033580,400000032581,400000032622,400000031840,400000031844,400000032104,400000031836,400000032108,400000031838,400000031841,400000031842,400000031843,400000033579,400000033573,400000032577,400000031839,400000033575,400000032516,400000032576,400000032121,400000033578,400000032629,400000032151,400000033581"
400000033746,400000033642,400000032005
